,gender,race,age,number of prior convictions,recidivist,recidivism risk score,first name,last name,full name,risk assessment date,date of birth
0,Male,African-American,48,12,0,6,John,Doe,John Doe,2018-05-24,1970-05-24
1,Male,Caucasian,28,2,1,2,John,Doe,John Doe,2018-03-18,1990-03-18
2,Male,Other,35,0,0,1,John,Doe,John Doe,2018-02-02,1983-02-02
3,Female,Other,33,0,0,2,Jane,Doe,Jane Doe,2018-03-19,1985-03-18
4,Female,Hispanic,25,0,0,3,Jane,Doe,Jane Doe,2018-06-22,1993-06-21
5,Male,Hispanic,48,1,0,1,John,Doe,John Doe,2017-01-05,1969-01-05
6,Male,African-American,61,12,0,3,John,Doe,John Doe,2018-03-13,1957-03-13
7,Female,Caucasian,40,0,0,2,Jane,Doe,Jane Doe,2017-07-08,1977-07-08
8,Male,African-American,37,8,0,6,John,Doe,John Doe,2018-02-28,1981-02-28
9,Male,Other,40,8,1,7,John,Doe,John Doe,2018-04-26,1978-04-26
10,Male,Caucasian,24,0,0,2,John,Doe,John Doe,2017-08-12,1993-08-12
11,Male,Other,30,4,1,9,John,Doe,John Doe,2019-07-25,1989-07-24
12,Male,African-American,37,6,0,3,John,Doe,John Doe,2017-06-22,1980-06-22
13,Female,African-American,28,1,0,9,Jane,Doe,Jane Doe,2019-12-18,1991-12-18
14,Male,Caucasian,67,0,0,1,John,Doe,John Doe,2018-07-30,1951-07-30
15,Male,African-American,31,5,1,4,John,Doe,John Doe,2019-07-19,1988-07-18
16,Male,African-American,24,1,0,4,John,Doe,John Doe,2018-02-17,1994-02-17
17,Male,African-American,42,3,0,1,John,Doe,John Doe,2017-01-06,1975-01-06
18,Male,African-American,23,1,0,2,John,Doe,John Doe,2017-05-10,1994-05-10
19,Male,Caucasian,28,1,0,2,John,Doe,John Doe,2017-08-18,1989-08-18
20,Male,African-American,30,2,0,4,John,Doe,John Doe,2019-06-07,1989-06-06
21,Male,African-American,36,0,0,1,John,Doe,John Doe,2017-01-19,1981-01-19
22,Male,Caucasian,39,0,0,5,John,Doe,John Doe,2018-08-21,1979-08-21
23,Male,Caucasian,35,1,0,2,John,Doe,John Doe,2019-06-02,1984-06-01
24,Male,Caucasian,22,0,0,3,John,Doe,John Doe,2019-12-21,1997-12-20
25,Male,African-American,20,1,1,4,John,Doe,John Doe,2018-04-05,1998-04-05
26,Female,Caucasian,56,1,0,8,Jane,Doe,Jane Doe,2017-06-26,1961-06-26
27,Male,African-American,25,7,1,10,John,Doe,John Doe,2018-06-01,1993-05-31
28,Male,African-American,28,2,0,4,John,Doe,John Doe,2018-10-07,1990-10-07
29,Male,African-American,35,2,0,3,John,Doe,John Doe,2018-10-18,1983-10-18
30,Male,African-American,20,0,0,4,John,Doe,John Doe,2018-01-11,1998-01-11
31,Male,Hispanic,68,0,0,1,John,Doe,John Doe,2018-10-20,1950-10-20
32,Female,Caucasian,45,0,0,1,Jane,Doe,Jane Doe,2018-10-08,1973-10-08
33,Male,African-American,35,7,0,4,John,Doe,John Doe,2019-11-15,1984-11-14
34,Male,African-American,36,0,1,7,John,Doe,John Doe,2017-04-15,1981-04-15
35,Male,African-American,30,5,0,3,John,Doe,John Doe,2019-04-23,1989-04-22
36,Male,Caucasian,25,0,0,3,John,Doe,John Doe,2019-09-02,1994-09-01
37,Male,African-American,32,3,0,4,John,Doe,John Doe,2018-11-14,1986-11-14
38,Male,Caucasian,52,0,0,1,John,Doe,John Doe,2019-07-01,1967-07-01
39,Female,African-American,23,1,0,4,Jane,Doe,Jane Doe,2018-11-03,1995-11-03
40,Male,African-American,54,0,1,1,John,Doe,John Doe,2019-08-21,1965-08-20
41,Male,African-American,34,19,0,8,John,Doe,John Doe,2017-09-05,1983-09-05
42,Male,Caucasian,52,0,0,1,John,Doe,John Doe,2017-06-25,1965-06-25
43,Male,African-American,34,27,0,7,John,Doe,John Doe,2019-02-04,1985-02-03
44,Female,Other,40,3,0,2,Jane,Doe,Jane Doe,2017-12-15,1977-12-15
45,Male,African-American,22,1,0,6,John,Doe,John Doe,2019-04-17,1997-04-16
46,Male,Caucasian,32,6,0,5,John,Doe,John Doe,2018-05-25,1986-05-25
47,Male,Hispanic,33,2,0,3,John,Doe,John Doe,2018-11-16,1985-11-15
48,Male,Caucasian,67,0,0,1,John,Doe,John Doe,2017-11-21,1950-11-21
49,Male,African-American,25,1,0,6,John,Doe,John Doe,2019-04-28,1994-04-27
50,Female,African-American,42,2,0,3,Jane,Doe,Jane Doe,2017-02-23,1975-02-23
51,Male,Caucasian,30,2,0,9,John,Doe,John Doe,2019-05-14,1989-05-13
52,Male,Caucasian,58,5,0,2,John,Doe,John Doe,2017-10-07,1959-10-07
53,Male,African-American,22,6,0,9,John,Doe,John Doe,2019-02-19,1997-02-18
54,Male,African-American,26,4,1,6,John,Doe,John Doe,2017-08-06,1991-08-06
55,Male,Hispanic,45,0,0,1,John,Doe,John Doe,2019-03-01,1974-03-01
56,Male,Caucasian,41,1,1,1,John,Doe,John Doe,2017-11-09,1976-11-09
57,Male,African-American,26,0,0,2,John,Doe,John Doe,2019-02-07,1993-02-06
58,Male,African-American,30,0,0,1,John,Doe,John Doe,2017-01-23,1987-01-23
59,Male,African-American,25,1,1,2,John,Doe,John Doe,2018-03-07,1993-03-06
60,Female,Caucasian,27,0,0,2,Jane,Doe,Jane Doe,2019-01-12,1992-01-12
61,Male,African-American,39,0,0,3,John,Doe,John Doe,2019-08-03,1980-08-02
62,Male,African-American,20,0,1,4,John,Doe,John Doe,2018-11-15,1998-11-15
63,Male,Caucasian,37,0,0,1,John,Doe,John Doe,2018-03-15,1981-03-15
64,Female,African-American,41,0,0,1,Jane,Doe,Jane Doe,2019-09-09,1978-09-09
65,Female,Caucasian,52,0,0,3,Jane,Doe,Jane Doe,2018-07-25,1966-07-25
66,Male,Hispanic,28,11,0,7,John,Doe,John Doe,2017-12-24,1989-12-24
67,Male,African-American,32,2,0,5,John,Doe,John Doe,2018-12-05,1986-12-05
68,Male,Caucasian,30,0,0,1,John,Doe,John Doe,2018-03-31,1988-03-30
69,Male,African-American,25,1,0,6,John,Doe,John Doe,2017-04-24,1992-04-23
70,Male,African-American,35,2,0,2,John,Doe,John Doe,2017-05-18,1982-05-18
71,Female,African-American,28,0,0,8,Jane,Doe,Jane Doe,2019-02-13,1991-02-13
72,Male,African-American,20,0,0,8,John,Doe,John Doe,2018-03-16,1998-03-16
73,Male,Caucasian,23,0,0,8,John,Doe,John Doe,2018-01-16,1995-01-16
74,Male,Caucasian,23,0,1,9,John,Doe,John Doe,2017-02-11,1994-02-11
75,Male,African-American,53,2,0,1,John,Doe,John Doe,2019-09-20,1966-09-20
76,Male,African-American,47,9,1,4,John,Doe,John Doe,2018-04-13,1971-04-13
77,Male,Caucasian,47,2,0,1,John,Doe,John Doe,2019-09-16,1972-09-15
78,Male,African-American,31,1,0,1,John,Doe,John Doe,2019-05-20,1988-05-19
79,Male,Hispanic,50,0,0,1,John,Doe,John Doe,2019-09-21,1969-09-20
80,Male,Caucasian,50,2,0,3,John,Doe,John Doe,2017-08-27,1967-08-27
81,Male,Caucasian,33,7,1,9,John,Doe,John Doe,2019-09-26,1986-09-25
82,Female,Caucasian,41,0,0,1,Jane,Doe,Jane Doe,2019-08-10,1978-08-10
83,Male,African-American,28,14,1,7,John,Doe,John Doe,2018-04-09,1990-04-09
84,Male,Caucasian,25,5,1,9,John,Doe,John Doe,2018-10-11,1993-10-10
85,Female,Caucasian,29,0,0,7,Jane,Doe,Jane Doe,2019-06-09,1990-06-08
86,Male,African-American,28,1,0,2,John,Doe,John Doe,2017-09-30,1989-09-30
87,Male,Caucasian,41,3,0,1,John,Doe,John Doe,2019-02-22,1978-02-22
88,Male,African-American,28,16,1,8,John,Doe,John Doe,2017-10-17,1989-10-17
89,Male,Caucasian,38,1,0,6,John,Doe,John Doe,2019-01-12,1981-01-11
90,Male,African-American,49,1,0,1,John,Doe,John Doe,2019-12-09,1970-12-09
91,Female,Caucasian,32,0,0,1,Jane,Doe,Jane Doe,2018-04-17,1986-04-17
92,Male,Caucasian,36,11,1,6,John,Doe,John Doe,2018-01-25,1982-01-25
93,Male,Caucasian,27,8,0,5,John,Doe,John Doe,2017-05-27,1990-05-27
94,Male,Caucasian,27,0,0,1,John,Doe,John Doe,2017-05-01,1990-05-01
95,Male,African-American,26,0,0,2,John,Doe,John Doe,2018-05-15,1992-05-14
96,Male,African-American,28,6,1,9,John,Doe,John Doe,2018-12-16,1990-12-16
97,Male,Caucasian,41,1,1,4,John,Doe,John Doe,2017-01-30,1976-01-31
98,Male,African-American,38,0,0,5,John,Doe,John Doe,2017-03-30,1979-03-30
99,Female,Caucasian,32,4,0,2,Jane,Doe,Jane Doe,2017-06-30,1985-06-30
100,Male,Other,40,1,0,1,John,Doe,John Doe,2019-07-20,1979-07-20
101,Male,African-American,20,0,0,4,John,Doe,John Doe,2017-06-15,1997-06-15
102,Female,Caucasian,59,0,0,1,Jane,Doe,Jane Doe,2017-08-15,1958-08-15
103,Male,African-American,41,0,0,1,John,Doe,John Doe,2019-08-31,1978-08-31
104,Male,African-American,25,6,1,7,John,Doe,John Doe,2018-06-05,1993-06-04
105,Male,Caucasian,29,0,0,1,John,Doe,John Doe,2017-10-24,1988-10-23
106,Female,African-American,39,1,0,1,Jane,Doe,Jane Doe,2019-01-06,1980-01-06
107,Male,Other,30,0,0,1,John,Doe,John Doe,2019-09-21,1989-09-20
108,Male,Caucasian,28,1,0,4,John,Doe,John Doe,2019-01-07,1991-01-07
109,Male,Hispanic,28,2,1,3,John,Doe,John Doe,2018-08-08,1990-08-08
110,Male,Other,39,6,0,5,John,Doe,John Doe,2019-05-23,1980-05-22
111,Male,African-American,32,0,0,1,John,Doe,John Doe,2017-08-13,1985-08-13
112,Male,Hispanic,23,0,0,3,John,Doe,John Doe,2017-04-01,1994-04-01
113,Male,African-American,21,1,0,5,John,Doe,John Doe,2018-05-25,1997-05-24
114,Male,Caucasian,25,4,0,6,John,Doe,John Doe,2018-05-09,1993-05-08
115,Male,Caucasian,22,1,1,4,John,Doe,John Doe,2017-12-01,1995-12-01
116,Male,African-American,21,1,1,7,John,Doe,John Doe,2019-04-11,1998-04-10
117,Male,Caucasian,47,2,0,1,John,Doe,John Doe,2017-06-28,1970-06-28
118,Male,Other,29,5,0,6,John,Doe,John Doe,2018-02-25,1989-02-24
119,Male,African-American,29,2,0,4,John,Doe,John Doe,2017-07-09,1988-07-08
